	Title	Location	Company	Salary	Synopsis	mean_annual_salary
1123	Senior Data Scientist at Rent-to-Own Startup	Remote in Colorado Springs, CO 80922	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
1124	Machine Learning-Data Engineer	Colorado Springs, CO 80919 (Northwest Colorado Springs area)	Verizon	$117,000 - $218,000 a year	Design, review, and optimize data ingestion and transformation processes in streaming, relational databases, and/or NoSQL in cloud environments, to deliver the…	167500.0
1125	Principal Data Scientist	Colorado Springs, CO 80919 (Northwest Colorado Springs area)+2 locations	Verizon	$108,000 - $200,000 a year	Expertise in data management and data analysis in relational database and in Hadoop.Serving as a subject matter expert on machine learning and predictive…	154000.0
1126	Data Analyst Clinical Quality Sr-Clinical Data Resources	Colorado Springs, CO+1 location	UCHealth	$33.82 - $50.73 an hour	Performs and reports advanced data analysis.Educates users with varying expertise in data analytics.5 years of relevant data analysis work experience.	84550.0
1127	Data Scientist SME TS/SCI	Colorado Springs, CO 80916 (Southeast Colorado Springs area)	KBR	$135,000 - $180,000 a year	Experience in data warehousing, data modeling, and/or data analysis.Develop conceptual, logical, and physical data models to support data analysis.	157500.0
1128	Training and Placement in java, salesforce, Data Science	Colorado Springs, CO 80903 (Central Colorado Springs area)	TechIntelli Solutions, Inc.	$50,000 - $90,000 a year	Big data Developer and all technology's related to IT.These training programs will last approximately 4 to 5 weeks.	70000.0
1129	Senior Data Scientist/Machine Learning Engineer	Remote in Colorado Springs, CO 80903+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
1130	Staff Data Scientist - REMOTE USA	Remote in Colorado Springs, CO	Mandiant	$160,000 a year	Identify data sources; iterate and grow datasets over time.Explore and analyze data; perform ad-hoc analyses to answer targeted questions.	160000.0
1131	INTELLIGENCE INTEGRATOR / DATA SCIENTIST	Colorado Springs, CO	Ignite Fueling Innovation	$80,000 - $120,000 a year	Provide database consultation, graphical data visualizations, and recommendations for quantitative data selection, intelligence collection & integration;	100000.0
1132	Data Plane Engineer	Remote in Colorado Springs, CO 80922	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	170000.0
1133	CDOC Statistical Analyst I (Colorado Springs)	Colorado Springs, CO	State of Colorado Job Opportunities	$4,500 - $6,588 a month	Identify priority areas for research, including data management, and collaborate with program staff to improve the tracking and reporting of quality data…	66528.0
1134	Senior Data Scientist	Colorado Springs, CO	IPS, Inc.	$103,677 - $198,992 a year	Develop the most valuable data product for data analytics.Able to understand various data structures and common methods in data transformation.	151334.5
1135	Software Engineer Machine Learning/Data Scientist	Colorado Springs, CO 80920 (Briargate area)	Sanborn Map Company	$70,000 - $105,000 a year	Familiarity with exploiting remote sensing data and imagery data.Familiar with working and handling big data.Deliver ML/DL projects from beginning to end.	87500.0
1136	Artificial Intelligence (AI) / Machine Learning (ML) Special...	Colorado Springs, CO 80902	Jacobs	$214,000 - $236,000 a year	Creates AI / ML models to run systematic processes on raw data and selecting models that pull the most relevant information from collected data to assist…	225000.0
1137	Data Engineer Mid-Level	Colorado Springs, CO 80912	IPS, Inc.	$80,000 - $135,000 a year	Proficient in data security management.Big data: 2 years (Preferred).Design, create, build & maintain ETL data pipelines.	107500.0
1138	Machine Learning Engineer	Colorado Springs, CO	IPS, Inc.	$55,000 - $85,000 a year	We specialize in bringing the latest technology to difficult problems and your job will be to make amazing solutions a reality.Job Types: Full-time, Part-time.	70000.0
1139	Deep Learning Audio Engineer	Colorado Springs, CO 80903 (Central Colorado Springs area)	Expect Engineering Solutions	$90,000 - $120,000 a year	Computer Vision, R&D, Video Processing Algorithms.Seeking a Deep Learning Audio Engineer for a full-time/perm placement in Colorado Springs, Colorado.	105000.0
1140	Principal ML & NLP Engineer	Remote in Colorado Springs, CO 80922	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	170000.0
1141	Senior Systems Engineer / Data Analyst	Colorado Springs, CO 80906 (Southwest Colorado Springs area)	General Dynamics Mission Systems, Inc	$101,000 a year	Experience creating data visualizations or contextually tailored graphs.Continually finding ways to innovate and improve data analysis practices and tools.	101000.0
1142	Space Force Data-Transport Architect	Colorado Springs, CO	SAIC	$125,001 - $150,000 a year	This position is for a data transportation SME, which requires knowledge in the areas of command and control (C2), radiofrequency (RF) properties, data…	137500.5
1143	Senior Director of Data Science	Remote in Columbus, OH 43279	DIRECTV	$169,300 - $338,500 a year	The DIRECTV Chief Data Office is looking for a creative, highly motivated Director of Data Science to provide technical and thought leadership to a team of data…	253900.0
1144	Data Scientist	Dublin, OH 43017	AdVon Commerce	From $95,000 a year	This role is ideal for someone who has solid mathematical background, domain experience in statistical analysis, data mining, information retrieval, or machine…	95000.0
1145	Data Scientist ( Hybrid in Columbus, OH)	Columbus, OH 43215 (Downtown area)+1 location	CyberCoders	$100,000 - $110,000 a year	Write complex SQL queries efficiently to prepare data to support reporting, advanced analytics, and data visualization.	105000.0
1146	Senior Data Scientist at Rent-to-Own Startup	Remote in Hilliard, OH 43026+1 location	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
1147	Senior Data Scientist/Machine Learning Engineer	Remote in Columbus, OH 43210+11 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
1148	Sr. Data Engineer - Medical Data and Analytics	Dublin, OH 43017	Cardinal Health	$91,000 - $135,500 a year	This role will have expertise in data movement and database technologies support data analytics and reporting capabilities.	113250.0
1149	Data Plane Engineer	Remote in Hilliard, OH 43026+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	170000.0
1150	eCommerce Data Marketing Analyst (Sr. Data Analyst II)	Columbus, OH	Shutterfly	$94,700 a year	Strong analytical skills and experience working in large data sets to analyze data using pivot tables and raw data, and measuring ecommerce digital marketing…	94700.0
1151	Principal ML & NLP Engineer	Remote in Hilliard, OH 43026+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	170000.0
1152	Data Scientist	Dublin, OH 43017	AdVon Commerce	From $95,000 a year	Enjoy making sense of chaos and data.Engineers and Data Scientists on the Data team work together to build our data platform and critical ETL pipelines while…	95000.0
1153	Data Scientist ( Hybrid in Columbus, OH)	Columbus, OH 43215 (Downtown area)+1 location	CyberCoders	$100,000 - $110,000 a year	Write complex SQL queries efficiently to prepare data to support reporting, advanced analytics, and data visualization.Top Reasons to Work with Us.	105000.0
1154	Data Scientist II	Frisco, TX	Sublime Wireless Inc	$70 - $73 an hour	Extending company's data with third party sources of information when needed.Enhancing data collection procedures to include information that is relevant for…	143000.0
1155	Data Scientist - Onsite - Frisco, TX	Frisco, TX 75034	ASK Consulting	$69,758 - $116,736 a year	Review data to identify discrepancies.Guide efforts to resolve erroneous data.Establish control reports to capture invalid data changes.	93247.0
1156	Data Scientist - Advanced Analytics (REMOTE)	Hybrid remote in Richardson, TX 75080	State Farm	$69,115 - $169,250 a year	Experience with data cleansing, feature creation, feature selection, value imputation and dependent variable analysis.	119182.5
1157	Senior Data Scientist at Rent-to-Own Startup	Remote in Frisco, TX 75034+2 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
1158	Senior Data Scientist/Machine Learning Engineer	Remote in Dallas, TX 75205+17 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
1159	Data Science Engineer only on w2 immediate Hiring	Plano, TX 75093	American Unit	$41 - $71 an hour	Translating staffing forecast data to understand outliers in data, understanding shift, case mix and future staffing needs.(SQL, unix shell, python, pandas).	112000.0
1160	Data Annotation Specialist, Plano, TX	Plano, TX 75075	Figure Eight Federal	From $14.42 an hour	This position plays a critical role in developing training data for Artificial Intelligence and Machine Learning capabilities.Job Types: Full-time, Temporary.	28840.0
1161	W2 only for Data Scientist	Plano, TX	Core Tec IT Services Pvt. Ltd.	Up to $45 an hour	2-5 years of experience in a data scientist or data analytics role.Integrate internal and external data sources, be comfortable working with both structured…	90000.0
1162	Data Science and Machine Learning Engineer	Plano, TX	Comtec IT Services	Up to $52 an hour	O 2-5 years’ experience in a data scientist or data analytics role.O Provide analytical support to the organization by leveraging data mining tools and…	104000.0
1163	Data Scientist	Plano, TX+1 location	Comtec Information systems	$32 - $40 an hour	2-5 years’ experience in a data scientist or data analytics role.There is a position of Data Scientist in Plano, TX For 1 year on W2 (only US Citizens and…	72000.0
1164	Sr. Data Analyst	Richardson, TX	VYL Systems	$50 an hour	\*Strong experience in data visualization and representation in Tableau and Excel including the development of dashboards and presenting data insights to…	100000.0
1165	Data Scientist / BigData Engineer	Plano, TX+1 location	COMTEC INFORMATION SYSTEMS	Up to $75 an hour	4 years of demonstrated experience in developing Big data solutions that support business analytics and data science teams.Added Bonus If You Have *.	150000.0
1166	Entry-Level Data Scientist	Plano, TX 75024+1 location	Pinnacle Technical Resources	$47.79 an hour	2 to 5 years’ experience in a data scientist or data analytics role.Integrate internal and external data sources, be comfortable working with both structured…	95580.0
1167	Data Plane Engineer	Remote in Dallas, TX 75205+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	170000.0
1168	Data Science and Machine Learning Engineer	Plano, TX	Comtec Information systems	$42 - $50 an hour	O 2-5 years’ experience in a data scientist or data analytics role.There is a position of Data Science and Machine Learning Engineer in Plano, TX For 1 year on…	92000.0
1169	eCommerce Data Marketing Analyst (Sr. Data Analyst II)	Plano, TX 75094	Shutterfly	$94,700 a year	Strong analytical skills and experience working in large data sets to analyze data using pivot tables and raw data, and measuring ecommerce digital marketing…	94700.0
1170	Associate Director, Data Analytics and Methodologies	Richardson, TX	Raytheon Technologies	$129,000 - $265,000 a year	Technical knowledge of data science topics related to data analytics and algorithms, edge computing, data science/artificial intelligence/machine learning…	197000.0
1171	Artificial Intelligence Engineer	Plano, TX 75074 (Old Towne area)	Safeway Inc./Albertson's Inc	$140,000 - $160,000 a year	Do intensive Data analysis and create training and validation data sets.Experience working with recommendation engines, data pipelines and distributed machine…	150000.0
1172	Senior Data Analyst - Enterprise Information Warehouse	Remote in Plano, TX	FedEx Services	$5,633 - $8,489 a month	Minimum (5) years work experience with implementing data solutions and/or executing data analysis and scientific measurements within a modern data platform.	84732.0
1173	Principal ML & NLP Engineer	Remote in Frisco, TX 75034+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	170000.0
1174	Data Science and Machine Learning Engineer	Plano, TX 75024	Pinnacle Technical Resources	$50 - $70 an hour	2 to 5 years experience in a data scientist or data analytics role.Provide analytical support to the organization by leveraging data mining tools and…	120000.0
1175	Senior Data Scientist - NLP	Remote in Dallas, TX 75226+1 location	CyberCoders	$130,000 - $160,000 a year	As our Senior Data Scientist, you'll be using Machine Learning and Natural Language Processing to analyze speech and text data from customer and client…	145000.0
1176	CW Data Science and Machine Learning Engineer	Plano, TX 75024	BEPC Inc	$51.47 an hour	2-5 years experience in a data scientist or data analytics role.Provide analytical support to the organization by leveraging data mining tools and analytical…	102940.0
1177	Data Scientist - Advanced Analytics (REMOTE)	Hybrid remote in Richardson, TX 75080	State Farm	$69,115 - $169,250 a year	As a data scientist at State Farm, you will help business partners build advanced analytic solutions to help drive results for the enterprise.	119182.5
1178	Data Scientist	Plano, TX+2 locations	Comtec Information systems	$32 - $40 an hour	2-5 years’ experience in a data scientist or data analytics role.There is a position of Data Scientist in Plano, TX For 1 year on W2 (only US Citizens and…	72000.0
1179	Entry-Level Data Scientist	Plano, TX 75024	Pinnacle Technical Resources	$47.79 an hour	2 to 5 years’ experience in a data scientist or data analytics role.Integrate internal and external data sources, be comfortable working with both structured…	95580.0
1180	Lead Data Scientist	Denver, CO+2 locations	DISH	$94,000 a year	Leverage SQL development skills to perform full lifecycle data mining activities, including requirements analysis, data quality assessment, data profiling,…	94000.0
1181	ETL Developer/Jr Data Scientist (Need Local to CO)	Greenwood Village, CO	ITGen Systems	$70 - $75 an hour	Leverage various data and technology resources to augment analysis.Experience in data validation, analysis, and debugging.ETL Developer: 3 years (Preferred).	145000.0
1182	Senior Data Scientist/Machine Learning Engineer	Remote in Littleton, CO 80123+17 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
1183	Analyst - Assessment & Research	Jefferson County, CO	Jeffco Public Schools	$95,540 - $111,370 a year	Ensure security of data, integrity of data, and the ability to recover data.Be comfortable with coding automated processes (especially for data pulls and data…	103455.0
1184	Data Plane Engineer	Remote in Denver, CO 80123+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	170000.0
1185	Director of Machine Learning and Engineering, Natural Langua...	Boulder, CO	SoundHound Inc.	$195,000 a year	Own and evolve various NLP related tools that are used internally to manually curate text data.You will have an opportunity to combine your management…	195000.0
1186	Senior Machine Learning Architect - Data Science	Denver, CO+1 location	Credera	$155,000 - $222,000 a year	Our data capabilities help our clients gain competitive advantage by transforming raw data into insights that enable actionable decision making.	188500.0
1187	Machine Learning Engineer, Platform	Remote in Denver, CO 80123+2 locations	Recruiting From Scratch	$150,000 - $190,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).	170000.0
1188	Senior Software Engineer, Machine Learning Platform	Boulder, CO	SoundHound Inc.	$136,000 - $166,000 a year	Expand and manage the GPU-based Machine Learning platform.Develop tools to scale ML training and inference.You graduated with a Bachelor's degree in Computer…	151000.0
1189	Principal ML & NLP Engineer	Remote in Littleton, CO 80123+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	170000.0
1190	Data Scientist, Economic and Policy Research	Hybrid remote in Boulder, CO 80309+1 location	University of Colorado Boulder	$65,000 - $80,000 a year	Write articles and reports about data.Conduct analytical and statistical analysis of economic data.Create and deploy surveys for the collection of primary…	72500.0
1191	Senior Data Scientist at Rent-to-Own Startup	Remote in Denver, CO 80123+17 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
1192	Data Science Strategy Lead, North America	Denver, CO+2 locations	Facebook App	$192,000 a year	Your background should be in a related quantitative or technical field, with experience working with large data sets and data-driven decision making at a…	192000.0
1193	Principal - Data Science - Data Science	Denver, CO	Credera	$200,000 - $288,000 a year	Our data capabilities help our clients gain competitive advantage by transforming raw data into insights that enable actionable decision making.	244000.0
1194	Senior Data Scientist/Machine Learning Engineer	Remote in Littleton, CO 80123+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
1195	Manager of Research Informatics and Data Science	Aurora, CO	Children's Hospital Colorado	$54.20 - $81.30 an hour	The Manager of Research Informatics & Data Science provides operational leadership for the Research Informatics & Data Science in the Analytics Resource Center…	135500.0
1196	Architect - Data Engineering	Denver, CO 80202 (Central Business District area)	Slalom Consulting	$110,000 - $140,000 a year	Data Engineering consisting of streaming / real-time data solutions, modern data platforms and data systems within products (i.e., database systems, graph…	125000.0
1197	Senior Machine Learning Platform Engineer, ML Ops	Boulder, CO	SoundHound Inc.	$136,000 - $166,000 a year	Expand and manage the GPU-based Machine Learning platform.Develop tools to scale ML training and inference.You graduated with a Bachelor's degree in Computer…	151000.0
1198	Senior Data Analyst	Rochester, MI 48309	Monroe	$100,000 - $120,000 a year	Experience optimizing/mining/cleaning data architectures and data sets.Experience creating algorithms and data models to forecast outcomes.	110000.0
1199	Statistical Programming Lead | Top-5 Pharma	Detroit, MI	Warman O'Brien	Up to $155,000 a year	Using your experience, you will be responsible for the Statistical Programming team delivery for 1+ clinical projects of low to mid complexity.	155000.0
1200	Data Scientist (Special Services ARPA)	Detroit, MI+1 location	The City of Detroit	$99,986 - $150,010 a year	Experience querying and pulling data from an enterprise data warehouse.Design and document data schemas and models for a scalable data warehouse.	124998.0
1201	Summer 2022 Data Science Industry Club Fellowship	Detroit, MI 48204 (Petosky-Otsego area)	Boys & Girls Clubs of Southeastern Michigan	$116,100 a year	Successful candidates should have a healthy interest in science and math to join the BGCSM Industry Club—the leading program developing the next generation of…	116100.0
1202	Statistical Data Analyst	Detroit, MI	Winston-Beck	From $95,000 a year	Candidates should have experience deploying statistical methods and machine learning to derive actionable insights, data visualizations, and models often from…	95000.0
1203	Senior Data Scientist at Rent-to-Own Startup	Remote in Livonia, MI 48154+2 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
1204	Senior Data Scientist/Machine Learning Engineer	Remote in Livonia, MI 48154+17 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
1205	Data Scientist / Sr. Data Scientist -Hybrid	Hybrid remote in Carleton, MI 48117	Guardian Glass	$90,000 - $150,000 a year	Work with data engineers to improve functionality in data systems (e.g., data reliability, efficiency, usability, and quality) and improve downstream data…	120000.0
1206	Data Scientist/Machine Learning Engineer	Temporarily Remote in Detroit, MI	x2logicsstaffingsolution.com	$125,000 - $135,000 a year	Extensive knowledge of ml frameworks, libraries, data structures, data modeling.Bachelor's / master’s degree in computer science, data science, mathematics or…	130000.0
1207	Sr. Data Analyst	Troy, MI 48084	Populus Group	$60,000 - $80,000 a year	Bring data to life for different levels of the organization through storytelling.Experience creating dynamic and actionable dashboards with data visualization…	70000.0
1208	Senior Data Analyst - Human Resources (Program Supervisor)	Detroit, MI 48202 (New Center area)+1 location	Detroit Public Schools Community District	$71,234 - $88,346 a year	Collaborate with analysts, data architects, data engineers, and developers to improve data models that allow for better data accessibility and data-driven…	79790.0
1209	Technical Specialist - Artificial Intelligence	Troy, MI 48098	Branex__Group	From $140,000 a year	Technical Specialist, Artificial Intelligence to be a part of the Advanced Robotics Group, which will create new automation solutions that improve overall…	140000.0
1210	Data Plane Engineer	Remote in Livonia, MI 48154+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	170000.0
1211	Senior Director, Research and Data Science	Detroit, MI 48202 (New Center area)+1 location	DPSCD	$85,000 - $115,000 a year	Contribute to the development and implementation of common data science principles across the District; set and maintain a high bar for analysis planning,…	100000.0
1212	AI Engineer with Java (Only W2 candidates)	Auburn Hills, MI	Innovyt	$65 - $70 an hour	This role will be responsible for building backend APIs/Technologies and Services to enable natural language interaction between customers with IVRs and Google…	135000.0
1213	Machine Learning Engineer, Platform	Remote in Livonia, MI 48154+2 locations	Recruiting From Scratch	$150,000 - $190,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).	170000.0
1214	Lead AI Algorithm Engineer	Novi, MI 48377+1 location	Stoneridge, Inc.	$125,000 - $150,000 a year	The Lead Algorithm Engineer will lead the development of state-of-the-art vision based feature detection, camera calibrations, image stitching, object detection…	137500.0
1215	Principal ML & NLP Engineer	Remote in Livonia, MI 48154+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	170000.0
1216	Business Intelligence Engineer	Remote in Livonia, MI 48154+2 locations	Recruiting From Scratch	$100,000 - $220,000 a year	Building expertise around our client's data and helping grow this data gene.Experience providing technical leadership and mentoring other engineers for the…	160000.0
1217	Environmental Engineer/Geologist/Scientist	Plymouth, MI 48170+1 location	Advanced Environmental Group, LLC (AEM Group)	$40,000 - $60,000 a year	Prepare drafts of written reports, proposals, tables of data, CAD drawings, boring logs, and sampling forms for review by Project Manager.	50000.0
1218	Solutions Engineer	Remote in Livonia, MI 48154+2 locations	Recruiting From Scratch	$150,000 - $220,000 a year	This allows data engineers and data scientists to focus on solving business problems instead of dealing with the scalability and performance of their code.	185000.0
1219	Environmental Technician	Ferndale, MI 48220	VersityLink	$19 - $20 an hour	Communicates information to Project Manager and discusses accuracy of data in preparation for submittal.Entry level Geologist or Environmental Scientist right…	39000.0
1220	Senior Backend Engineer	Remote in Livonia, MI 48154+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Experiment, prototype, measure, and make data-driven technology stack decisions.Have strong software engineering experience and a firm grasp of CS fundamentals…	170000.0
1221	Lead AI Algorithm Engineer	Novi, MI 48377+1 location	Stoneridge, Inc.	$125,000 - $150,000 a year	Since 1965, Stoneridge has designed and manufactured advanced, award-winning technologies including driveline and transmission actuation systems, vision systems…	137500.0
1222	eCommerce Data Marketing Analyst (Sr. Data Analyst II)	Detroit, MI 48201 (Midtown area)	Shutterfly	$94,700 a year	Strong analytical skills and experience working in large data sets to analyze data using pivot tables and raw data, and measuring ecommerce digital marketing…	94700.0
1223	Python Machine Learning Developer	Detroit, MI	Videre Soft Consulting LLC	$45,000 - $58,000 a year	The desired professional would have 4 to 8 years of experience in software development.C / C++ Programming or Java Programming or Python + Machine learning.	51500.0
1224	Associate Predictive Modeler	Dearborn, MI 48121	Auto Club Group	$80,000 - $85,000 a year	Manipulating data in preparation for modeling exercise.Analyzing requests for information to determine required data.Analyze and solve business problems.	82500.0
1225	Python Machine Learning Developer	Detroit, MI	Videre Soft Consulting LLC	$45,000 - $58,000 a year	The desired professional would have 4 to 8 years of experience in software development.Hands on in Software development in below skills:	51500.0
1226	Technical Specialist - Artificial Intelligence	Troy, MI 48098	Branex__Group	From $140,000 a year	Summary*: Corporate R&D in Troy, MI is seeking a talented, visionary, and self-motivated.Technical Specialist, Artificial Intelligence to be a part of the…	140000.0
1227	Associate Predictive Modeler	Dearborn, MI 48121	Auto Club Group	$80,000 - $85,000 a year	Manipulating data in preparation for modeling exercise.Analyzing requests for information to determine required data.We’re looking for candidates who:	82500.0
1228	Data Plane Engineer	Remote in Livonia, MI 48154+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Who is Recruiting from Scratch:	170000.0
1229	Research Scientist (Physics)	Texas	Undefined Technologies	$45 an hour	Ability to communicate with both scientists and non-scientists is essential.Experience in conducting data analysis.Published author in peer-reviewed journals.	90000.0
1230	Therapeutic RNA Scientist (Rochester, MN)	Texas	Imanis Life Sciences	$68,000 - $86,000 a year	Analyze data generated during R&D activities to identify trends and make conclusions regarding optimal RNA combinations and encapsulation strategies.	77000.0
1231	HSC Sr Research Scientist (Psychiatry)	El Paso, TX	Texas Tech Unv Hlth Sci Ctr El Paso	$4,000 a month	Extract data from medical records and enter data into databases.Responsible for data entry, record keeping and analysis of data related to brain bank research.	48000.0
1232	Interdisciplinary	Fort Bliss, TX	US Army Installation Management Command	$66,214 - $86,074 a year	Manages the operation of the General Fund Enterprise Business Systems (GFEBS) and Geographic Information System (GIS) including data entry, updates, data…	76144.0
1233	Travel MT / Travel MLT	Texas	LRS Healthcare	$1,500 - $2,500 a week	Record data and test results accurately and in specified format.Perform and evaluate a variety of clinical laboratory tests/examinations for use in clinical…	100000.0
1234	Senior Data Scientist - Delivery Insights	Remote in Texas	Indeed	$139,000 - $201,000 a year	Your Job Delivery Insights provides development life cycle analytics for teams across Indeed. Our internally-facing products produce and visualize data that…	170000.0
1235	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Your Job We’re looking for a senior leader to lead data and product science for the global platform that will personalize Indeed for job seekers and…	310000.0
1236	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Data Scientist It’s All About YOU Are you seeking to grow and enhance your technical career to new heights, in a full-time, W-2 opportunity? What…	64000.0
1237	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Your Job About the Role The Job Seeker Data Science group is excited to hire a Data Science Manager to help lead our Ranking and Personalization Science…	183000.0
1238	Data Scientist	Remote in Washington, DC	3GIMBALS	$77,000 - $147,500 a year	Maintain knowledge of emerging data science and data management trends.Develop data scraping scripts to pull open-source data automatically.	112250.0
1239	Senior Data Scientist	Sterling, VA 20166	Cardinal Technology Systems, Corp	From $140,000 a year	Experience performing data mining, analysis, and training set construction.Familiarity with RESTful APIs, web scraping, and processing unstructured data.	140000.0
1240	Data Scientist	Tysons Corner, VA+3 locations	Accenture Federal Services	Up to $10,000 a month	AFS National Security Portfolio is seeking a data scientist who is excited about using technical skills to have a positive impact on national security by…	120000.0
1241	Data Scientist	McLean, VA 22102+1 location	Analytic Solutions Group	$105,000 - $180,000 a year	Provide robust graphical data visualizations and recommendations for quantitative data analysis selection and collection.	142500.0
1242	Master Data Management and Knowledge Engineer	Remote in Ashburn, VA 20147	SAIC	$125,001 - $150,000 a year	10+ years of experience in the areas of master data management, reference data management, data governance, data management, analytics, and technology.	137500.5
1243	Data Scientist	Washington, DC+1 location	MissionWired	$75,000 - $90,000 a year	Ability to optimize data pipelines, architectures, and data sets.Supporting the development of infrastructure for optimal extraction, transformation, and…	82500.0
1244	Signal Processing AI/Machine Learning Engineer	Capitol Heights, MD 20743	CyberCoders	$100,000 - $150,000 a year	Perform concept and performance trade studies and demonstrate developed capabilities for streaming data applications.	125000.0
1245	Machine Learning Engineer	Arlington County, VA	Snagajob	$112,000 - $138,000 a year	Collaborate with data scientists, developers, and product managers to integrate and validate machine learning solutions end to end.What You'll Get to Do.	125000.0
1246	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	Help our recruiting team attract and evaluate top economists, machine learning engineers, and scientists.In this role, you will lead teams of machine learning…	262000.0
1247	Data Scientist	Washington, DC 20591 (Southwest Federal Center area)	US Federal Aviation Administration	$112,187 - $173,922 a year	Identifies risks in the NAS through the use of data sets, such as voice data, track data, incident/accident data, maps, etc.This is a bargaining unit position.	143054.5
1248	Senior Data Scientist	Ashburn, VA 20147	Adtech	$101,507 - $150,626 a year	Experience performing data mining, analysis, and training set construction.Familiarity with RESTful APIs, web scraping, and processing unstructured data.	126066.5
1249	Data Scientist/Data Analyst (TS/SCI FS Poly)	Fairfax, VA 22030	Insight Xcite LLC	$145,000 - $235,000 a year	We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our client's business and mission. We…	190000.0
1250	Data Scientist	Washington, DC 20002 (Truxton Circle area)	Government of the District of Columbia	$89,457 - $115,262 a year	This position is located in the Division of Data, Analytics, Research and Evaluation (DARE), within the Economic Security Administration (ESA) at the…	102359.5
1251	Economist / Statistician	Washington, DC	US Consumer Financial Protection Bureau	$83,282 - $170,560 a year	Help This job is open to The public U.S. Citizens, Nationals or those who owe allegiance to the U.S. Clarification from the agency U.S Citizens or U.S.…	126921.0
